0,28
0.48846,24
0.97691,24
1.4654,24
1.9538,23
2.4423,23
2.9307,24
3.4192,27
3.9076,26
4.3961,26
4.8846,29
5.373,32
5.8615,32
6.3499,33
6.8384,33
7.3268,33
7.8153,17
8.3037,15
8.7922,15
9.2807,19
9.7691,20
10.258,20
10.746,18
11.234,18
11.723,18
12.211,16
12.7,16
13.188,16
13.677,25
14.165,25
14.654,25
15.142,31
15.631,31
16.119,31
16.607,32
17.096,32
17.584,30
18.073,26
18.561,26
19.05,25
19.538,27
20.027,27
20.515,28
21.004,36
21.492,36
21.98,42
22.469,47
22.957,47
23.446,50
23.934,58
24.423,58
24.911,58
25.4,67
25.888,70
26.377,70
26.865,62
27.353,65
27.842,65
28.33,61
28.819,64
29.307,64
29.796,66
30.284,68
30.773,68
31.261,79
31.75,79
32.238,79
32.727,85
33.215,85
33.703,85
34.192,90
34.68,90
35.169,90
35.657,92
36.146,92
36.634,92
37.123,76
37.611,76
38.1,75
38.588,66
39.076,66
39.565,74
40.053,76
40.542,76
41.03,83
41.519,84
42.007,84
42.496,89
42.984,90
43.473,90
43.961,89
44.449,94
44.938,92
45.426,92
45.915,97
46.403,99
46.892,99
47.38,90
47.869,97
48.357,97
